Task,AOI,Number of Fixations,Total Fixation Duration,Average Fixation Duration,Minimum Fixation Duration,Maximum Fixation Duration
SWA_Stimulus,Whole Stimulus,1268.0,273259.9061,215.504657807571,66.6005,1849.7581
SWA_Stimulus2,Whole Stimulus,535.0,116279.51989999998,217.34489700934577,66.5983,1983.1376
SWA_Stimulus,SWA_Stimulus_Journalist_List_1,46.0,11723.8807,254.86697173913043,66.7264,699.9673
SWA_Stimulus,SWA_Stimulus_Status_invited1,19.0,6640.7425,349.51276315789477,74.9481,933.1944
SWA_Stimulus,SWA_Stimulus_Add_1,18.0,8540.8033,474.4890722222222,133.3589,1849.7581
SWA_Stimulus,SWA_Stimulus_Status_Request2,5.0,1208.1534,241.63067999999998,83.2964,608.2461
SWA_Stimulus,SWA_Stimulus_Navigation_2,13.0,2249.7646,173.05881538461537,66.6292,508.333
SWA_Stimulus,SWA_Stimulus_Status_Published3,13.0,2541.2371,195.4797769230769,66.6327,433.282
SWA_Stimulus,SWA_Stimulus_EventInfo_1,152.0,35962.5714,236.5958644736842,66.6387,1266.5102
SWA_Stimulus,SWA_Stimulus_Confirm_add,1.0,224.9264,224.9264,224.9264,224.9264
SWA_Stimulus,SWA_Stimulus_Status_Published2,8.0,1758.0326,219.754075,83.318,516.6162
SWA_Stimulus,SWA_Stimulus_Journalist_List_6,12.0,1574.7211,131.22675833333332,66.6614,216.6338
SWA_Stimulus,SWA_Stimulus_Status_Published_6,1.0,124.9856,124.9856,124.9856,124.9856
SWA_Stimulus,SWA_Stimulus_Status_Published_5,13.0,2666.3493,205.1037923076923,66.6667,558.2717
SWA_Stimulus,SWA_Stimulus_Status Request1,23.0,6915.8564,300.68940869565216,83.2985,716.5547
SWA_Stimulus,SWA_Stimulus_EventInfo_2,58.0,9265.5098,159.75016896551725,66.6312,558.2961
SWA_Stimulus,SWA_Stimulus_Status_Published1,27.0,7532.4327,278.9789888888889,74.9716,1224.86
SWA_Stimulus,SWA_Stimulus_Journalist_List5,11.0,1541.3107,140.11915454545453,66.6418,249.9851
SWA_Stimulus,SWA_Stimulus_Question_Task1,45.0,6765.9352,150.35411555555555,66.6527,316.6462
SWA_Stimulus,SWA_Stimulus_Journalist_List4,28.0,6657.6719,237.77399642857145,66.6843,733.2517
SWA_Stimulus,SWA_Stimulus_EventInfo_3,14.0,1974.6895,141.04925,66.6628,224.9654
SWA_Stimulus,SWA_Stimulus_Status_Published_4,23.0,7432.5707999999995,323.155252173913,83.3371,766.6019
SWA_Stimulus,SWA_Stimulus_Navigation_1,25.0,5491.4043,219.656172,66.6719,433.3086
SWA_Stimulus,SWA_Stimulus_Journalist_selection,2.0,441.5736,220.7868,99.9783,341.5953
SWA_Stimulus,SWA_Stimulus_Event_Details,116.0,23938.8134,206.36908103448275,66.6416,974.9022
SWA_Stimulus,SWA_Stimulus_Journalist_List_3,15.0,2566.503,171.1002,74.9984,325.0032
SWA_Stimulus,SWA_Stimulus_Available_Journalists,46.0,11248.7482,244.53800434782607,66.6681,1258.1765
SWA_Stimulus,SWA_Stimulus_Add_2,4.0,474.86990000000003,118.71747500000001,66.6005,208.3034
SWA_Stimulus,SWA_Stimulus_Journalist_List_2,21.0,5124.5616,244.02674285714286,74.9777,1349.8706
SWA_Stimulus2,SWA_Stimulus2_Current_Selection,15.0,4216.2605,281.08403333333337,74.9819,858.2658
SWA_Stimulus2,SWA_Stimulus2_View button,21.0,5816.1289,276.958519047619,100.0223,708.2717
SWA_Stimulus2,SWA_Stimulus2_Navigation_2,16.0,8982.456,561.4035,99.977,1983.1376
SWA_Stimulus2,SWA_Stimulus2_EventInfo,28.0,5491.1733,196.11333214285716,66.6848,483.2853
SWA_Stimulus2,SWA_Stimulus2_Edit_button,12.0,3974.6115,331.217625,91.6557,1249.8858
SWA_Stimulus2,SWA_Stimulus2_Submission_information,9.0,1958.1836,217.57595555555557,66.624,474.9544
SWA_Stimulus2,SWA_Stimulus2_Question_Task2,75.0,10282.3285,137.09771333333333,66.5983,416.6186
SWA_Stimulus2,SWA_Stimulus2_Question,67.0,16723.0714,249.59808059701493,66.6479,858.2418
SWA_Stimulus2,SWA_Stimulus2_Navigation_3,24.0,7024.1657,292.6735708333333,74.9662,1116.4633
SWA_Stimulus2,SWA_Stimulus2_Help_button,2.0,466.59,233.295,74.9853,391.6047
SWA_Stimulus2,SWA_Stimulus2_Submission,41.0,8565.8171,208.92236829268293,66.6669,416.6241
SWA_Stimulus2,SWA_Stimulus2_Question_Editor,53.0,8674.1143,163.66253396226415,66.6661,633.2559
SWA_Stimulus2,SWA_Stimulus2_Published_Report_1,11.0,1900.0057,172.7277909090909,75.0239,333.3134
SWA_Stimulus2,SWA_Stimulus2_Question_Control,19.0,5557.595,292.505,66.6792,1333.1763
