VisitedAOI_,SourceStimuliName_,Total Dwell Time,Average Dwell Time,Number of Dwells,Average Number of Fixations in Dwell,Average Number of Saccades in Dwell
SWA_Stimulus2_Current_Selection,SWA_Stimulus2,4932.868400000021,246.64342000000107,20,0.75,1.15
SWA_Stimulus2_Edit_button,SWA_Stimulus2,4249.699399999998,326.89995384615366,13,0.9230769230769231,0.9230769230769231
SWA_Stimulus2_EventInfo,SWA_Stimulus2,7665.80090000006,365.038138095241,21,1.3333333333333333,2.4761904761904763
SWA_Stimulus2_Help_button,SWA_Stimulus2,574.9835999999777,71.87294999999722,8,0.25,0.875
SWA_Stimulus2_Navigation_1,SWA_Stimulus2,349.99729999995907,87.49932499998977,4,0.0,2.0
SWA_Stimulus2_Navigation_2,SWA_Stimulus2,9382.291300000012,852.9355727272738,11,1.4545454545454546,1.2727272727272727
SWA_Stimulus2_Navigation_3,SWA_Stimulus2,7615.821500000049,585.8324230769268,13,1.8461538461538463,2.0
SWA_Stimulus2_Published_Report_1,SWA_Stimulus2,2941.5572999999713,173.03278235293948,17,0.6470588235294118,1.6470588235294117
SWA_Stimulus2_Question,SWA_Stimulus2,19331.263600000122,552.3218171428606,35,1.9142857142857144,2.4
SWA_Stimulus2_Question_Control,SWA_Stimulus2,5924.27290000004,311.8038368421074,19,1.0,1.0526315789473684
SWA_Stimulus2_Question_Editor,SWA_Stimulus2,25463.923599999995,771.6340484848483,33,1.606060606060606,6.7272727272727275
SWA_Stimulus2_Question_Task2,SWA_Stimulus2,25505.452599999946,1020.2181039999979,25,3.0,9.52
SWA_Stimulus2_Submission,SWA_Stimulus2,10007.02760000006,345.06991724138135,29,1.4137931034482758,1.5517241379310345
SWA_Stimulus2_Submission_information,SWA_Stimulus2,2416.4757000000245,172.6054071428589,14,0.6428571428571429,1.1428571428571428
SWA_Stimulus2_View button,SWA_Stimulus2,6874.289700000052,491.02069285714657,14,1.5,2.357142857142857
SWA_Stimulus_Add_1,SWA_Stimulus,9032.41810000003,410.5644590909105,22,0.8181818181818182,0.8181818181818182
SWA_Stimulus_Add_2,SWA_Stimulus,541.5929000000051,90.26548333333419,6,0.6666666666666666,0.6666666666666666
SWA_Stimulus_Available_Journalists,SWA_Stimulus,15431.632400000006,467.6252242424244,33,1.393939393939394,3.0303030303030303
SWA_Stimulus_Confirm_add,SWA_Stimulus,233.2310000000034,116.6155000000017,2,0.5,0.5
SWA_Stimulus_EventInfo_1,SWA_Stimulus,45161.77359999996,422.0726504672893,107,1.4205607476635513,2.289719626168224
SWA_Stimulus_EventInfo_2,SWA_Stimulus,14081.879999999937,256.0341818181807,55,1.0545454545454545,2.272727272727273
SWA_Stimulus_EventInfo_3,SWA_Stimulus,3249.7248000000036,249.97883076923105,13,1.0769230769230769,2.230769230769231
SWA_Stimulus_Event_Details,SWA_Stimulus,43053.54770000003,827.952840384616,52,2.230769230769231,6.769230769230769
SWA_Stimulus_Journalist_List4,SWA_Stimulus,8040.764599999933,223.35457222222036,36,0.7777777777777778,1.3055555555555556
SWA_Stimulus_Journalist_List5,SWA_Stimulus,3532.910300000043,168.23382380952586,21,0.5238095238095238,1.3333333333333333
SWA_Stimulus_Journalist_List_1,SWA_Stimulus,15669.53749999985,340.6421195652141,46,1.0,1.6304347826086956
SWA_Stimulus_Journalist_List_2,SWA_Stimulus,6016.164099999968,261.57235217391167,23,0.9130434782608695,1.173913043478261
SWA_Stimulus_Journalist_List_3,SWA_Stimulus,3332.865000000009,222.1910000000006,15,1.0,1.7333333333333334
SWA_Stimulus_Journalist_List_6,SWA_Stimulus,2458.13900000001,163.87593333333402,15,0.8,1.4
SWA_Stimulus_Journalist_selection,SWA_Stimulus,449.8877000000066,224.9438500000033,2,1.0,0.5
SWA_Stimulus_Navigation_1,SWA_Stimulus,7857.6346999999605,302.2167192307677,26,0.9615384615384616,1.6538461538461537
SWA_Stimulus_Navigation_2,SWA_Stimulus,2633.0014000000338,202.53856923077183,13,1.0,1.3076923076923077
SWA_Stimulus_Question_Task1,SWA_Stimulus,10807.245900000009,469.8802565217395,23,1.9565217391304348,3.739130434782609
SWA_Stimulus_Status Request1,SWA_Stimulus,7482.538300000058,233.82932187500182,32,0.71875,0.625
SWA_Stimulus_Status_Published1,SWA_Stimulus,8398.891500000045,399.9472142857164,21,1.2857142857142858,1.5714285714285714
SWA_Stimulus_Status_Published2,SWA_Stimulus,1833.0200999999888,141.00154615384528,13,0.6153846153846154,0.5384615384615384
SWA_Stimulus_Status_Published3,SWA_Stimulus,3074.5151000000587,192.15719375000367,16,0.8125,1.125
SWA_Stimulus_Status_Published_4,SWA_Stimulus,9032.292999999976,361.29171999999903,25,0.92,1.32
SWA_Stimulus_Status_Published_5,SWA_Stimulus,3199.6711000000287,228.54793571428777,14,0.9285714285714286,1.0
SWA_Stimulus_Status_Published_6,SWA_Stimulus,274.9476999999897,68.73692499999743,4,0.25,1.5
SWA_Stimulus_Status_Request2,SWA_Stimulus,1266.4704000000056,253.29408000000112,5,1.0,0.6
SWA_Stimulus_Status_invited1,SWA_Stimulus,8065.603400000011,278.12425517241417,29,0.6551724137931034,1.206896551724138
